text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
Watch #Rihanna Take Part in an All-Female Heist in 'Ocean's 8' Trailer https://t.co/r4ChFoVIyS via @billboard,FALSE,0,NA,2017/12/18 19:19,FALSE,NA,9.42837E+17,NA,Twitter for Android,AARONIZKING,0,FALSE,FALSE,NA,NA
Consideration Remix #rihanna https://t.co/ubETypp48u,FALSE,1,NA,2017/12/18 19:05,FALSE,NA,9.42833E+17,NA,Facebook,MovieBarbie,0,FALSE,FALSE,NA,NA
Mon 14:03 sex with me by #rihanna  #nowplaying #FREQUENCY360RADIO https://t.co/lPX9Df4FlN,FALSE,0,NA,2017/12/18 19:03,FALSE,NA,9.42833E+17,NA,CSSocial,FREQUENCY360TV,0,FALSE,FALSE,NA,NA
"song for justin bieber, Do not look for approval except for the consciousness of doing your best., http:/ #1d #rihanna #bieber #adele #song",FALSE,0,NA,2017/12/18 19:00,FALSE,NA,9.42832E+17,NA,twittbot.net,MP3SongMusic,0,FALSE,FALSE,NA,NA
RT @lorealluchi: #Oceans8 Trailer STARRING #Rihanna <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> https://t.co/K5QPA7Baeo,FALSE,0,NA,2017/12/18 19:00,FALSE,NA,9.42832E+17,NA,Twitter Web Client,EXIIIT13,1,TRUE,FALSE,NA,NA
#Oceans8 Trailer STARRING #Rihanna <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> https://t.co/K5QPA7Baeo,FALSE,2,NA,2017/12/18 18:59,FALSE,NA,9.42832E+17,NA,Twitter for iPhone,lorealluchi,1,FALSE,FALSE,NA,NA
<ed><U+00A0><U+00BE><ed><U+00B4><U+00A9><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> #Rihanna #Drake #happy #riri #badgirlriri #happiness https://t.co/dc2Ur0D18S,FALSE,0,NA,2017/12/18 18:54,FALSE,NA,9.42831E+17,NA,Twitter for iPhone,VsVs8800,0,FALSE,FALSE,NA,NA
<U+0130>ki k<U+0131>yafetinde ayn<U+0131> renk olmas<U+0131> ayn<U+0131> model oldu<U+011F>u anlam<U+0131>na gelmiyo! Birbirinden alakas<U+0131>z modeller..hangisi daha g<U+00FC><U+2026> https://t.co/qIk5Mc9e0Q,FALSE,0,NA,2017/12/18 18:53,TRUE,NA,9.4283E+17,NA,Twitter for iPhone,tolgacam,0,FALSE,FALSE,NA,NA
"See Sandra Bullock, Cate Blanchett, #Rihanna, and More in the #Glam Ocean's 8 Teaser https://t.co/7KMmR8uWdv #mybeat",FALSE,0,NA,2017/12/18 18:47,FALSE,NA,9.42829E+17,NA,My Beat,beat2music,0,FALSE,FALSE,NA,NA
Rihanna est sexy pour la promotion de ses rouges <U+00E0> l<U+00E8>vres ! - MCE Ma Chaine Etudiante https://t.co/I7TIKL5wiv #people #star #Rihanna,FALSE,0,NA,2017/12/18 18:44,FALSE,NA,9.42828E+17,NA,IFTTT,actu24_People,0,FALSE,FALSE,NA,NA
RT @femmedinfluence: Chris Brown raconte pour la premi<U+00E8>re fois la nuit o<U+00F9> il a frapp<U+00E9> #Rihanna... https://t.co/HnUvElpE3u,FALSE,0,NA,2017/12/18 18:41,FALSE,NA,9.42827E+17,NA,Twitter Lite,Smknz_,10734,TRUE,FALSE,NA,NA
#TaylorSwift #MileyCyrus #FifthHarmony #LadyGaGa #KylieJenner #KatyPerry  #ArianaGrande #Rihanna #KimKardashian https://t.co/jgVIZ0jKT8,FALSE,0,NA,2017/12/18 18:40,FALSE,NA,9.42827E+17,NA,Hootsuite,dreamgirls,0,FALSE,FALSE,NA,NA
Amo esse tipo de dan<U+00E7>a! #Rihanna #twerking https://t.co/Bnl4t7g6Xj,FALSE,0,NA,2017/12/18 18:39,FALSE,NA,9.42827E+17,NA,Twitter for Android,Maysatheobaldo,0,FALSE,FALSE,NA,NA
"RT @filmmagde: Das erste Filmposter zu #Oceans8 mit #AnneHathaway, #CateBlanchett, #SandraBullock und #Rihanna! https://t.co/eq2S5SBhnL",FALSE,0,NA,2017/12/18 18:34,FALSE,NA,9.42825E+17,NA,Twitter for iPad,Schattenwolf_,1,TRUE,FALSE,NA,NA
"RT @blanchettcom: First <U+2018>Ocean<U+2019>s 8 Trailer Teaser + Contest Infos
More: https://t.co/ONdDaylCiM
#CateBlanchett #SandraBullock #Rihanna #Sar<U+2026>",FALSE,0,NA,2017/12/18 18:34,FALSE,NA,9.42825E+17,NA,Twitter for Android,kungmaple,9,TRUE,FALSE,NA,NA
"justin bieber video songs, I'm married to my best friend!, https://t.co/iYdZ978tBj #1d #rihanna #bieber #adele #song",FALSE,0,NA,2017/12/18 18:31,FALSE,NA,9.42825E+17,NA,twittbot.net,MP3SongMusic,0,FALSE,FALSE,NA,NA
Inspired #BlingedOut Sunglasses. Seen on #blacchyna #rihanna and other #celebrities. $19.99 w/#freeshipping shop... https://t.co/1SsdIHG76G,FALSE,0,NA,2017/12/18 18:31,FALSE,NA,9.42825E+17,NA,Facebook,CELEBGlamStudio,0,FALSE,FALSE,NA,NA
Inspired #BlingedOut Sunglasses. Seen on #blacchyna #rihanna and other #celebrities. $19.99<U+2026> https://t.co/i5LEZ2ob9f,FALSE,0,NA,2017/12/18 18:30,FALSE,NA,9.42824E+17,NA,Instagram,CELEBGlamStudio,0,FALSE,FALSE,NA,NA
"RT @blanchettcom: First <U+2018>Ocean<U+2019>s 8 Trailer Teaser + Contest Infos
More: https://t.co/ONdDaylCiM
#CateBlanchett #SandraBullock #Rihanna #Sar<U+2026>",FALSE,0,NA,2017/12/18 18:23,FALSE,NA,9.42823E+17,NA,Twitter for iPad,cekocu9,9,TRUE,FALSE,NA,NA
New Couple Alert: #KarruecheTran Moves On From Ex #ChrisBrown &amp; Now Dating #NFL Star #VictorCruz<U+2026> https://t.co/kR37SlUdkH,FALSE,0,NA,2017/12/18 18:23,TRUE,NA,9.42823E+17,NA,Twitter Web Client,SpillThaTea,0,FALSE,FALSE,NA,NA
"#rihanna wear the Algerian traditionnel wears turgy Sahara @rihanna
#fashion #fashionworld<U+2026> https://t.co/kNHmfVhB9o",FALSE,0,NA,2017/12/18 18:21,FALSE,NA,9.42822E+17,NA,Instagram,n05oor,0,FALSE,FALSE,NA,NA
"RT @blanchettcom: First <U+2018>Ocean<U+2019>s 8 Trailer Teaser + Contest Infos
More: https://t.co/ONdDaylCiM
#CateBlanchett #SandraBullock #Rihanna #Sar<U+2026>",FALSE,0,NA,2017/12/18 18:21,FALSE,NA,9.42822E+17,NA,Twitter for Android,PaulinDorinaD,9,TRUE,FALSE,NA,NA
