text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"EVERY SONG FROM ""REPUTATION"" MASHED-UP WITH OLDER TAYLOR SONGS RT FOR A FOLLOW!!! @taylorswift13 @taylornation13<U+2026> https://t.co/HH4MHXL27p",FALSE,74,NA,2017/12/18 20:06,TRUE,NA,9.42848E+17,NA,Twitter Web Client,JulietteReilly_,51,FALSE,FALSE,NA,NA
So excited!!! <ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D> #taylorswift #reputationstadiumtour #Dublin #CrokePark https://t.co/8c1iEg6lsa,FALSE,0,NA,2017/12/18 20:05,FALSE,NA,9.42848E+17,NA,Instagram,Nana_Jonas,0,FALSE,FALSE,NA,NA
"VIDEO:  Shoshana Bean &amp; Cynthia Erivo Join Forces on a Taylor Swift Hit! https://t.co/Wj3NsT1mzc

#taylorswift<U+2026> https://t.co/vqEmJPWe4o",FALSE,0,NA,2017/12/18 20:02,TRUE,NA,9.42847E+17,NA,Crowdfire - Go Big,PlayEntNetwork,0,FALSE,FALSE,NA,NA
"<U+00BF>Escucharon ya el nuevo <U+00E1>lbum de Taylor Swift ""Reputation""? <U+00BF>Qu<U+00E9> piensan sobre su disco? Tiene un ritmo muy chido<U+2026> https://t.co/H3hzBFUw4x",FALSE,0,NA,2017/12/18 20:00,TRUE,NA,9.42847E+17,NA,Hootsuite,MuseEstetica,0,FALSE,FALSE,NA,NA
Amazing App with best 20 quotes of your idols - https://t.co/26lkx2Fjzf     #TaylorSwift #TaylorSwiftNOW<U+2026> https://t.co/TENk3f9n24,FALSE,1,NA,2017/12/18 19:59,TRUE,NA,9.42847E+17,NA,Postcron App,b20qtaylorswift,0,FALSE,FALSE,NA,NA
RT @Z100NewYork: That moment #TaylorSwift brought #EdSheeran and COMPLETED our #Z100JingleBall goals!! <ed><U+00A0><U+00BD><ed><U+00B2><U+0095><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+008D> https://t.co/6P1eS9UmCM,FALSE,0,NA,2017/12/18 19:59,FALSE,NA,9.42847E+17,NA,Twitter for Android,hadidswiftie,803,TRUE,FALSE,NA,NA
@katyperry @Walgreens @kpfragrances Best Singer??? (Follow @DeoPrasanjeet to Get 10 Followers Every Week)<U+2026> https://t.co/cGbhGx4f1Z,FALSE,12,katyperry,2017/12/18 19:58,TRUE,9.42846E+17,9.42846E+17,21447363,Twitter for Android,DeoPrasanjeet,10,FALSE,FALSE,NA,NA
Finding the right tools: How Iran rebuilding its #TaylorSwift portal with CKAN https://t.co/0iYA95hssE,FALSE,1,NA,2017/12/18 19:53,FALSE,NA,9.42845E+17,NA,SamReadWriteBot,t_s_institute,0,FALSE,FALSE,NA,NA
Since I started listening to #Lookwhatyoumademedo this lyric is stuck in my head. I really wish karma will do it<U+2018>s<U+2026> https://t.co/7eCvCK1GIc,FALSE,1,NA,2017/12/18 19:49,TRUE,NA,9.42844E+17,NA,Twitter for iPhone,KatyN1989,0,FALSE,FALSE,NA,NA
"<U+201C>I<U+2019>m sorry, the old Marilena can<U+2019>t come to the phone... why? Because she<U+2019>s CRYING AND FEELING OLD AT THE SAME TIME<U+201D><U+2026> https://t.co/DxwRha5o8R",FALSE,1,NA,2017/12/18 19:47,TRUE,NA,9.42844E+17,NA,Twitter for iPhone,toomanyLena,0,FALSE,FALSE,NA,NA
"Joe will be the prince and taylor will be the princess it's a love story, swifties just say yes! <U+2764>
#TaylorSwift<U+2026> https://t.co/3gExpYX58s",FALSE,2,NA,2017/12/18 19:42,TRUE,NA,9.42843E+17,NA,Twitter for Android,SpookyHotAriana,0,FALSE,FALSE,NA,NA
